kind,.pred_AI,.pred_class,is_correct,detector,native,name,model,document_id,prompt
Human,0.999994235,AI,No,Sapling,No,Real TOEFL,Human,497,NA
Human,0.828144789,AI,No,Crossplag,No,Real TOEFL,Human,278,NA
Human,0.000213746,Human,Yes,Crossplag,Yes,Real College Essays,Human,294,NA
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,671,Plain
AI,0.001784091,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,717,Elevate using technical
Human,0.000178271,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,855,NA
AI,0.991587579,AI,Yes,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,533,Plain
AI,0.022602066,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,484,Elevate using technical
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,781,NA
Human,0.999999308,AI,No,Sapling,No,Real TOEFL,Human,460,NA
AI,0.999181688,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,591,Plain
AI,0.000206552,Human,No,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,11,Plain
Human,4.00E-04,Human,Yes,OriginalityAI,Yes,US 8th grade essay,Human,194,NA
AI,0,Human,No,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,261,Enhance like native
AI,1,AI,Yes,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,531,Plain
AI,0.002164013,Human,No,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,170,Simplify like non-native
Human,0.992240548,AI,No,OriginalityAI,No,Real TOEFL,Human,306,NA
AI,0.862290597,AI,Yes,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,169,Simplify like non-native
Human,0.711835206,AI,No,HFOpenAI,No,Real TOEFL,Human,302,NA
AI,7.74E-07,Human,No,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,5,Elevate using literary
AI,0.000223576,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,554,Elevate using technical
AI,0.16766797,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,672,Plain
Human,0.000174047,Human,Yes,Crossplag,Yes,Real College Essays,Human,47,NA
AI,0,Human,No,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,380,Enhance like native
Human,1.45E-11,Human,Yes,GPTZero,Yes,Real CS224N,Human,808,NA
AI,0.003674402,Human,No,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,270,Enhance like native
AI,0.25,Human,No,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
Human,0.006526799,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,164,NA
Human,0.996456563,AI,No,Quil,No,Real TOEFL,Human,400,NA
AI,0.000174463,Human,No,Quil,NA,Fake CS224N - GPT3,GPT3,12,Plain
Human,0.061003149,Human,Yes,Quil,No,Real TOEFL,Human,274,NA
Human,0.229115095,Human,Yes,Sapling,Yes,Real College Essays,Human,419,NA
AI,1.47E-05,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,563,Plain
AI,0.995349348,AI,Yes,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,10,Plain
Human,0.000170457,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,777,NA
AI,0.000265818,Human,No,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,78,Enhance like native
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,797,NA
AI,0.972365975,AI,Yes,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,509,Elevate using technical
Human,1.97E-05,Human,Yes,Sapling,Yes,US 8th grade essay,Human,456,NA
AI,0.045670807,Human,No,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,703,Plain
AI,0.99897447,AI,Yes,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,697,Elevate using technical
Human,0.0045,Human,Yes,OriginalityAI,Yes,US 8th grade essay,Human,104,NA
Human,6.61E-07,Human,Yes,Sapling,Yes,Real College Essays,Human,917,NA
AI,0.164626911,Human,No,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,197,Simplify like non-native
AI,0.000169931,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,654,Elevate using technical
Human,1.04E-06,Human,Yes,Sapling,Yes,US 8th grade essay,Human,252,NA
AI,0.000182092,Human,No,Quil,NA,Fake CS224N - GPT3,GPT3,671,Plain
AI,1.47E-05,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,20,Plain
AI,0.000272147,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,622,Elevate using technical
Human,0.000482961,Human,Yes,HFOpenAI,Yes,US 8th grade essay,Human,331,NA
AI,0,Human,No,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,305,Enhance like native
AI,0.99995988,AI,Yes,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,92,Simplify like non-native
AI,0.5,Human,No,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,449,Simplify like non-native
AI,0.999818742,AI,Yes,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,10,Plain
AI,0.001019484,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,285,Enhance like native
AI,0.996289611,AI,Yes,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,346,Enhance like native
Human,0.99999956,AI,No,Sapling,No,Real TOEFL,Human,329,NA
Human,0.039850485,Human,Yes,HFOpenAI,Yes,US 8th grade essay,Human,132,NA
AI,0.000183558,Human,No,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,896,Elevate using literary
Human,0.169785604,Human,Yes,Crossplag,No,Real TOEFL,Human,264,NA
AI,0.000463715,Human,No,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,339,Enhance like native
AI,0.625,AI,Yes,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,330,Enhance like native
Human,0.000205374,Human,Yes,HFOpenAI,Yes,Real College Essays,Human,473,NA
Human,0.125,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,224,NA
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,648,Elevate using technical
Human,7.13E-07,Human,Yes,Sapling,Yes,Real College Essays,Human,540,NA
Human,0.998563707,AI,No,HFOpenAI,No,Real TOEFL,Human,249,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,926,NA
Human,0.999774277,AI,No,HFOpenAI,No,Real TOEFL,Human,280,NA
AI,0,Human,No,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,3,Elevate using literary
AI,0.125,Human,No,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,205,Elevate using literary
AI,0.000100059,Human,No,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,680,Elevate using technical
Human,0.000182785,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,788,NA
AI,0.123335771,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.004087193,Human,Yes,GPTZero,No,Real TOEFL,Human,450,NA
AI,0.00017845,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,463,Elevate using technical
AI,0.999751747,AI,Yes,Crossplag,NA,Fake CS224N - GPT3,GPT3,442,Plain
Human,0.003443949,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,748,NA
Human,0.000217833,Human,Yes,HFOpenAI,Yes,US 8th grade essay,Human,194,NA
AI,0.999999497,AI,Yes,Sapling,NA,Fake College Essays - GPT3,GPT3,537,Plain
AI,0.001669943,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,517,Elevate using technical
AI,0.999230924,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,587,Plain
Human,0.005349182,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,855,NA
Human,0.202427745,Human,Yes,Quil,No,Real TOEFL,Human,418,NA
AI,8.84E-07,Human,No,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,203,Elevate using literary
Human,3.00E-07,Human,Yes,GPTZero,Yes,Real CS224N,Human,766,NA
AI,0.000394157,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,588,Plain
AI,0.999623293,AI,Yes,Sapling,NA,Fake College Essays - GPT3,GPT3,71,Plain
Human,0.114407048,Human,Yes,HFOpenAI,No,Real TOEFL,Human,260,NA
AI,2.04E-06,Human,No,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,0.982738197,AI,Yes,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,510,Plain
AI,0.017189272,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,710,Elevate using technical
AI,0.012379341,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
Human,0.875,AI,No,ZeroGPT,No,Real TOEFL,Human,334,NA
AI,0.000187806,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,601,Elevate using technical
Human,0.000170469,Human,Yes,Quil,Yes,US 8th grade essay,Human,125,NA
Human,0.000195563,Human,Yes,Quil,Yes,US 8th grade essay,Human,94,NA
AI,0,Human,No,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,918,Elevate using literary
Human,0.000184522,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,768,NA
AI,0.000250757,Human,No,Quil,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,382,Elevate using literary
Human,0,Human,Yes,ZeroGPT,No,Real TOEFL,Human,910,NA
AI,0.25,Human,No,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,53,Simplify like non-native
Human,0.13415,Human,Yes,OriginalityAI,Yes,US 8th grade essay,Human,225,NA
Human,0.034971487,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,882,NA
Human,0.000179647,Human,Yes,Crossplag,Yes,Real CS224N,Human,846,NA
Human,0.999824584,AI,No,Quil,No,Real TOEFL,Human,430,NA
AI,0.437899292,Human,No,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,308,Enhance like native
Human,6.67E-24,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,472,NA
AI,0.056323163,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,669,Elevate using technical
AI,0.92770946,AI,Yes,Crossplag,NA,Fake College Essays - GPT3,GPT3,538,Plain
Human,0.000167905,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,110,NA
AI,0.000557796,Human,No,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,288,Enhance like native
Human,0.514742672,AI,No,Crossplag,Yes,Real CS224N,Human,754,NA
Human,0.000112209,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,809,NA
AI,0.004448109,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,678,Plain
AI,5.08E-07,Human,No,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,355,Enhance like native
AI,0.000145052,Human,No,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,66,Elevate using literary
Human,0.653521362,AI,No,GPTZero,No,Real TOEFL,Human,344,NA
AI,0.999992183,AI,Yes,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,506,Elevate using technical
AI,0.75,AI,Yes,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,309,Enhance like native
AI,0.116017703,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,478,Plain
AI,0.000100059,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,491,Enhance like native
AI,0.998133242,AI,Yes,Quil,NA,US 8th grade essay - GPT simplify,GPT4,233,Simplify like non-native
AI,0.997904181,AI,Yes,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,233,Simplify like non-native
AI,0.030849993,Human,No,Quil,NA,Fake College Essays - GPT3,GPT3,531,Plain
Human,0.8633461,AI,No,OriginalityAI,No,Real TOEFL,Human,467,NA
Human,0.000320362,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,798,NA
AI,0.375,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,615,Plain
Human,0.01956279,Human,Yes,Crossplag,No,Real TOEFL,Human,460,NA
Human,0.023188406,Human,Yes,GPTZero,Yes,Real CS224N,Human,865,NA
AI,0.000217147,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,616,Elevate using technical
Human,0.784012914,AI,No,HFOpenAI,No,Real TOEFL,Human,338,NA
AI,5.04E-07,Human,No,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,317,Enhance like native
Human,0.178878187,Human,Yes,OriginalityAI,Yes,Real College Essays,Human,224,NA
AI,0.000169632,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,601,Elevate using technical
AI,0.033965637,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,636,Plain
AI,6.68E-05,Human,No,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,5,Elevate using literary
AI,0.987388074,AI,Yes,Crossplag,NA,Fake CS224N - GPT3,GPT3,522,Plain
AI,0.999819458,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,37,Plain
Human,1.47E-05,Human,Yes,GPTZero,Yes,Real CS224N,Human,847,NA
Human,1.45E-11,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,193,NA
AI,3.20E-06,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,480,Elevate using technical
AI,0.000838784,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,354,Enhance like native
Human,0.000284108,Human,Yes,Crossplag,Yes,Real CS224N,Human,810,NA
Human,0,Human,Yes,ZeroGPT,Yes,US 8th grade essay,Human,436,NA
AI,0.000195324,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,711,Elevate using technical
AI,0.000170313,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,594,Elevate using technical
AI,0.000190198,Human,No,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,255,Enhance like native
Human,6.04E-16,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,89,NA
AI,0.000168085,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,594,Elevate using technical
Human,0.020908788,Human,Yes,Crossplag,No,Real TOEFL,Human,322,NA
AI,0.000100059,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,346,Enhance like native
AI,2.12E-06,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,248,Enhance like native
AI,7.30E-07,Human,No,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,270,Enhance like native
AI,0.999145031,AI,Yes,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,551,Elevate using technical
Human,0.000170725,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,880,NA
AI,1.13E-06,Human,No,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,251,Simplify like non-native
AI,1.47E-05,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,610,Plain
Human,0.00017935,Human,Yes,Quil,Yes,Real College Essays,Human,485,NA
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,484,Elevate using technical
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,790,NA
AI,0.999998616,AI,Yes,Sapling,NA,Fake College Essays - GPT3,GPT3,730,Plain
AI,0.000871049,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,894,Enhance like native
AI,0.999627102,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,567,Plain
Human,0.000118597,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,826,NA
